key,ticker,name,description,startMoment,endMoment,moreInfo,draftMode,key:auditor
#base - entity
audit-report-sample-01,ES26-a1B2c,"Annual Financial Review 2027","Comprehensive audit of the fiscal year 2027 focusing on domestic revenue streams and internal accounting practices.",2027/01/01 08:00,2027/02/01 17:00,https://example.com/report1,true,auditor-01

#ticker - standar (regex: ^[A-Z]{2}[0-9]{2}-\w{5,10}$)
audit-report-sample-02,UK99-abcde,"Ticker suffix minimum 5 chars","Testing exactly 5 lowercase characters in the suffix.",2027/03/01 09:00,2027/04/01 09:00,,true,auditor-01
audit-report-sample-03,US00-abcdefghij,"Ticker suffix maximum 10 chars","Testing exactly 10 lowercase characters in the suffix.",2027/03/01 09:00,2027/04/01 09:00,,true,auditor-02
audit-report-sample-04,FR12-12345,"Ticker suffix numbers only 5","Testing only numbers in the suffix.",2027/03/01 09:00,2027/04/01 09:00,,true,auditor-03
audit-report-sample-05,DE34-0123456789,"Ticker suffix numbers only 10","Testing exactly 10 numbers in the suffix.",2027/03/01 09:00,2027/04/01 09:00,,true,auditor-03
audit-report-sample-06,IT56-a1_B2_c3,"Ticker suffix mixed with underscore","Testing letters, numbers and underscore (valid \w).",2027/03/01 09:00,2027/04/01 09:00,,true,auditor-01
audit-report-sample-07,JP78-ABCDE,"Ticker suffix uppercase 5","Testing uppercase suffix.",2027/03/01 09:00,2027/04/01 09:00,,true,auditor-02

#name - standar (ValidHeader: 1 to 75 chars)
audit-report-sample-08,AA01-name1,"A","Shortest possible name (1 char).",2027/04/01 10:00,2027/04/15 10:00,,true,auditor-01
audit-report-sample-09,AA02-name2,"Ab","Short name (2 chars).",2027/04/01 10:00,2027/04/15 10:00,,true,auditor-02
audit-report-sample-10,AA03-name3,"This is exactly a seventy five characters long valid header for audit repor","Longest possible name (exactly 75 chars).",2027/04/01 10:00,2027/04/15 10:00,,true,auditor-03
audit-report-sample-11,AA04-name4,"Audit & Compliance Review (Q1)","Name with common symbols.",2027/04/01 10:00,2027/04/15 10:00,,true,auditor-03
audit-report-sample-12,AA05-name5,"Revisión Financiera y de Riesgos","Name with Spanish accents.",2027/04/01 10:00,2027/04/15 10:00,,true,auditor-01
audit-report-sample-13,AA06-name6,"Überprüfung der Sicherheit","Name with German umlauts.",2027/04/01 10:00,2027/04/15 10:00,,true,auditor-02
audit-report-sample-14,AA07-name7,"財務およびコンプライアンス監査","Name with Japanese characters.",2027/04/01 10:00,2027/04/15 10:00,,true,auditor-03
audit-report-sample-15,AA08-name8,"مراجعة الامتثال المالي","Name with Arabic characters.",2027/04/01 10:00,2027/04/15 10:00,,true,auditor-03
audit-report-sample-16,AA09-name9,"<script>console.log('test');</script>","Name attempting basic XSS injection (should be treated as string).",2027/04/01 10:00,2027/04/15 10:00,,true,auditor-01
audit-report-sample-17,AA10-name10,"Audit_Report_For_Drop_Tables","Name with underscores.",2027/04/01 10:00,2027/04/15 10:00,,true,auditor-02

#description - standar (ValidText: 1 to 255 chars)
audit-report-sample-18,BB01-desc1,"Description tests 1","A",2027/05/01 10:00,2027/06/01 10:00,,true,auditor-01
audit-report-sample-19,BB02-desc2,"Description tests 2","This is a medium length description. It provides enough context to understand the scope of the audit without hitting the maximum character limit set by the validation constraint.",2027/05/01 10:00,2027/06/01 10:00,,true,auditor-02
audit-report-sample-20,BB03-desc3,"Description tests 3","This description is meticulously crafted to be exactly two hundred and fifty-five characters long. We use this to ensure that the database column and the Hibernate validation constraint accept the maximum boundary condition without throwing any exceptions",2027/05/01 10:00,2027/06/01 10:00,,true,auditor-03
audit-report-sample-21,BB04-desc4,"Description tests 4","1. Scope definition.\n2. Risk assessment.\n3. Final reporting.",2027/05/01 10:00,2027/06/01 10:00,,true,auditor-03
