key,key:inventor,ticker,name,description,startMoment,endMoment,moreInfo,draftMode
invention-01,inventor-01,AA01-BASE01,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet","2025/01/08 00:00","2025/01/08 00:01","http://lorem.com/ipsum",true
invention-02,inventor-02,AA02-BASE02,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet","2025/01/08 00:01","2025/01/09 00:01","http://lorem.com/ipsum",false
invention-03,inventor-01,BB01-BASE01,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/08 12:00","2025/01/15 12:00","http://lorem.com/ipsum",true
invention-04,inventor-01,BB02-ABCDE,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/09 00:00","2025/02/08 00:00","http://lorem.com/ipsum",true
invention-05,inventor-02,BB03-ABCDEF,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/15 10:30","2025/03/15 10:30","http://lorem.com/ipsum",true
invention-06,inventor-02,BB04-ABCDEFGHI,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/31 23:59","2025/02/01 00:00","http://lorem.com/ipsum",true
invention-07,inventor-01,BB05-ABCDEFGHIJ,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/02/01 00:00","2025/03/01 00:00","http://lorem.com/ipsum",true
invention-08,inventor-02,BB06-A1_B2C,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/02/28 00:00","2025/03/01 00:00","http://lorem.com/ipsum",true
invention-09,inventor-01,CC01-NAME01,"L","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/03/31 00:00","2025/04/30 00:00","http://lorem.com/ipsum",true
invention-10,inventor-01,CC02-NAME02,"Lo","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/06/01 08:00","2025/12/01 08:00","http://lorem.com/ipsum",true
invention-11,inventor-02,CC03-NAME03,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2026/01/01 00:00","2026/01/08 00:00","http://lorem.com/ipsum",true
invention-12,inventor-02,CC04-NAME04,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t*","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2026/02/28 00:00","2026/03/01 00:00","http://lorem.com/ipsum",true
invention-13,inventor-01,CC05-NAME05,"โลเร็ม อิปซัม","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2027/12/31 23:59","2028/01/01 00:00","http://lorem.com/ipsum",true
invention-14,inventor-02,CC06-NAME06,"لوريم إيبسوم","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2028/02/29 00:00","2028/03/01 00:00","http://lorem.com/ipsum",true
invention-15,inventor-01,CC07-NAME07,"洛伦·伊普森","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2028/02/29 12:00","2028/03/30 12:00","http://lorem.com/ipsum",true
